id_client,polynomial_ma_1,polynomial_ar_1,cluster,cluster_DBSCAN
0,,,2.0,29.0
1,,,2.0,29.0
2,0.38578717131822937,,2.0,29.0
3,-0.998769626712148,-0.7515289025599348,0.0,0.0
4,,,2.0,29.0
5,-0.9985867813625509,-0.6884935793753457,0.0,0.0
6,-0.999694469232463,-0.7151592216864304,0.0,0.0
7,-0.9985390369380912,-0.688494429319234,0.0,0.0
8,-0.9997312200324978,-0.6884845495058276,0.0,0.0
9,-0.9965097035366948,-0.619821051103802,0.0,0.0
10,,,2.0,29.0
11,-0.9994156050441728,-0.6679229224069014,0.0,0.0
12,,,2.0,29.0
13,-0.998888556574409,-0.6885008408426571,0.0,0.0
14,-0.9991083629523198,-0.6884964579673439,0.0,0.0
15,,,2.0,29.0
16,-0.9995378148226876,-0.7224976031297389,0.0,0.0
17,-0.9995378148226876,-0.7224976031297389,0.0,0.0
18,-0.9999016672331672,-0.7224835643266222,0.0,0.0
19,,,2.0,29.0
20,,,2.0,29.0
21,,,2.0,29.0
22,,,2.0,29.0
23,,,2.0,29.0
24,-0.9974875392679542,-0.7837934480818997,0.0,0.0
25,,,2.0,29.0
26,,,2.0,29.0
27,,,2.0,29.0
28,,,2.0,29.0
29,,,2.0,29.0
30,,,2.0,29.0
31,,,2.0,29.0
32,,,2.0,29.0
33,,,2.0,29.0
34,,,2.0,29.0
35,,,2.0,29.0
36,,,2.0,29.0
37,,,2.0,29.0
38,,,2.0,29.0
39,,,2.0,29.0
40,,,2.0,29.0
41,,,2.0,29.0
42,,,2.0,29.0
43,,,2.0,29.0
44,,,2.0,29.0
45,,,2.0,29.0
46,,,2.0,29.0
47,,,2.0,29.0
48,,,2.0,29.0
49,,,2.0,29.0
50,,,2.0,29.0
51,,,2.0,29.0
52,,,2.0,29.0
53,,,2.0,29.0
54,,,2.0,29.0
55,,,2.0,29.0
56,,,2.0,29.0
57,,,2.0,29.0
58,,,2.0,29.0
59,,,2.0,29.0
60,,,2.0,29.0
61,,,2.0,29.0
62,,,2.0,29.0
63,,,2.0,29.0
64,,,2.0,29.0
65,,,2.0,29.0
66,-0.15456741251342146,,2.0,29.0
67,,,2.0,29.0
68,,,2.0,29.0
69,,,2.0,29.0
70,,,2.0,29.0
71,,,2.0,29.0
72,,,2.0,29.0
73,,,2.0,29.0
74,,,2.0,29.0
75,,,2.0,29.0
76,,,2.0,29.0
77,,,2.0,29.0
78,,,2.0,29.0
79,,,2.0,29.0
80,0.3156224606141033,0.8593247410926108,1.0,-1.0
81,,,2.0,29.0
82,-0.9988168859009234,-0.7860169046752968,0.0,0.0
83,-0.9996782205270426,-0.6555611720023174,0.0,0.0
84,-0.9992301612520986,-0.6555881784486017,0.0,0.0
85,,,2.0,29.0
86,-0.9986746454624582,-0.6555444371036562,0.0,0.0
87,-0.9984761103801458,-0.6555220726420599,0.0,0.0
88,,,2.0,29.0
89,-0.9994594392962544,-0.6555434454277991,0.0,0.0
90,-0.9994499125785896,-0.655556428775266,0.0,0.0
91,-0.9997683865970466,-0.6555652699334199,0.0,0.0
92,-0.9988524258145174,-0.655604074729197,0.0,0.0
93,-0.9997849507332756,-0.6555470680659622,0.0,0.0
94,-0.9996405841679726,-0.6555077675430622,0.0,0.0
95,-0.999041301077098,-0.6555964793984422,0.0,0.0
96,-0.9995190188348404,-0.6555735314223848,0.0,0.0
97,-0.9994196673250696,-0.6555460779327297,0.0,0.0
98,,,2.0,29.0
99,,,2.0,29.0
100,-0.9991004709119377,-0.6555263172514451,0.0,0.0
101,-0.9987292177594232,-0.6556053606710556,0.0,0.0
102,-0.999184065040372,-0.6555588292075081,0.0,0.0
103,-0.9972399329825196,-0.5622556401174696,0.0,0.0
104,-0.9987311530052144,-0.6555497508835895,0.0,0.0
105,-0.999106680861874,-0.6555669097941588,0.0,0.0
106,-0.999295758913307,-0.6555521790524762,0.0,0.0
107,-0.9993956456562716,-0.6555502312851066,0.0,0.0
108,-0.9990567831198374,-0.655602976088385,0.0,0.0
109,,,2.0,29.0
110,,,2.0,29.0
111,,,2.0,29.0
112,,,2.0,29.0
113,,,2.0,29.0
114,,,2.0,29.0
115,,,2.0,29.0
116,,,2.0,29.0
117,,,2.0,29.0
118,,,2.0,29.0
119,,,2.0,29.0
120,,,2.0,29.0
121,,,2.0,29.0
122,,,2.0,29.0
123,,,2.0,29.0
124,,,2.0,29.0
125,,,2.0,29.0
126,0.9995062400670572,0.19634429797927214,1.0,1.0
127,,,2.0,29.0
128,,,2.0,29.0
129,,,2.0,29.0
130,,,2.0,29.0
131,,,2.0,29.0
132,,,2.0,29.0
133,,,2.0,29.0
134,,,2.0,29.0
135,,,2.0,29.0
136,,,2.0,29.0
137,,,2.0,29.0
138,,,2.0,29.0
139,,,2.0,29.0
140,,,2.0,29.0
141,,,2.0,29.0
